main_category,title,average_rating,rating_number,features,description,price,store,categories,details,parent_asin
Musical Instruments,"Best Choice Products 61-Key Beginners Complete Electronic Keyboard Piano Set w/Lighted Keys, LCD Screen, Headphones, Stand, Bench, Teaching Modes, Note Stickers, Built-In Speakers",4.7,5473,"['STANDARD SIZE ELECTRONIC KEYBOARD: Complete with 61 keys, 255 timbres, 255 rhythms, 50 demo songs, 32 types of keyboard percussion, and a starting tempo of 120 BPM', 'ULTIMATE BUNDLE, GREAT GIFT: With an H-style keyboard stand, music stand, padded stool, and more, it makes for the perfect birthday or holiday present for any aspiring musician', '3 TEACHING MODES: One-Key, Follow, and Ensemble modes provide lessons for novice players. LCD display, light-up keys, recorder with playback, and piano note stickers help them learn to read music', 'QUALITY SOUND: Perform a recital with built-in speakers, headphones, a rhythm programmer, and music player function that help to find the perfect sound and re-create classic music pieces', 'USB PORT: Plug in and play along to songs stored on a USB and let your creative side out as you add your own meoldies or rhythm to background music; KEYBOARD DIMENSIONS: 36.4""(L) x 12""(W) x 3.7""(H)']",[],139.99,Best Choice Products,"['Musical Instruments', 'Keyboards & MIDI', 'Electronic Keyboards', 'Portable & Arranger Keyboards']","{""Item Weight"": ""17.2 pounds"", ""Product Dimensions"": ""36.4 x 12 x 3.7 inches"", ""Item model number"": ""SKY5588"", ""Best Sellers Rank"": {""Musical Instruments"": 2364, ""Portable & Arranger Keyboards"": 23}, ""Date First Available"": ""September 6, 2019"", ""Color Name"": ""Black"", ""Connector Type"": ""Plug in,usb"", ""Number of Keyboard Keys"": ""61"", ""Size"": ""61-Key"", ""Proficiency Level"": ""All"", ""Brand"": ""Best Choice Products"", ""Color"": ""Black"", ""Number of Keys"": ""61"", ""Skill Level"": ""All"", ""Special Feature"": ""Digital Display""}",B07YXXZLCM
Musical Instruments,String Swing Ukulele Wall Mount Stand for Mandolin Ukele Concert Pineapple Soprano Tenor and Baritone Compatible Case Alternative Kit for Home or Studio - Black Walnut Hardwood CC01UK-BW,4.8,5459,[],[],14.99,String Swing,"['Musical Instruments', 'Instrument Accessories', 'Folk & World Instrument Accessories', 'Ukulele Accessories']","{""Item Weight"": ""0.26 Pounds"", ""Product Dimensions"": ""8.5 x 1.75 x 5.5 inches"", ""Item model number"": ""CC01UK-BW"", ""Best Sellers Rank"": {""Musical Instruments"": 480, ""Ukulele Accessories"": 4}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""October 27, 2013"", ""Back Material"": ""Walnut"", ""Color Name"": ""Black Walnut"", ""Top Material"": ""Walnut"", ""Number of Strings"": ""4"", ""Brand"": ""String Swing"", ""Color"": ""Black Walnut"", ""Item Dimensions LxWxH"": ""8.5 x 1.75 x 5.5 inches"", ""Top Material Type"": ""Walnut"", ""Back Material Type"": ""Walnut"", ""Instrument"": ""mandolin\\nukulele"", ""Operation Mode"": ""Manual""}",B0B1FSRKX7
Musical Instruments,"Donner Piano Sustain Pedal, Keyboard Sustain Pedal for Digital Piano Electronic Keyboard MIDI Synthesizer, Sturdy Durable, with Polarity Switch, 1/4'' (6.35mm) Input Plug, DSP-001",4.5,5447,"['Strong Compatibility: A polarity switch is designed on the side of the pedal, with 1/4″ (6.35mm) Jack Input, which has strong compatibility, suitable for a variety of brands of piano/keyboard.', 'Sturdy and Durable: Makes of high-quality chrome to avoid deformation, with a premium rubberized shell, makes the sustain pedal last longer. 6 months warranty service let you use without worry.', 'Anti-slip Design: Slip-resistant rubber bottom grips the floor to keep the pedal perfectly in place.', 'Universal Sustain Pedal: Classical design, suitable for most of electronic keyboards and digital pianos, etc.', 'Quick Response: When you play piano or keyboard, the notes will respond quickly as you step on the sustain pedal. And the sound quality will be enriched. A 63-inch cable can let you move the pedal under the piano into the best position.']",[],15.99,Donner,"['Musical Instruments', 'Instrument Accessories', 'Keyboard Accessories', 'Pedals & Footswitches']","{""Item Weight"": ""0.62 Pounds"", ""Product Dimensions"": ""9.25 x 2.87 x 2.64 inches"", ""Item model number"": ""DK-1"", ""Best Sellers Rank"": {""Musical Instruments"": 755, ""Keyboard Pedals & Footswitches"": 6}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""September 29, 2016"", ""Color Name"": ""Black"", ""Number of Strings"": ""6"", ""Size"": ""DSP-001 Basic"", ""Power Source"": ""Corded Electric"", ""Brand"": ""Donner"", ""Color"": ""Black"", ""Age Range (Description)"": ""Adult""}",B01LX1H4HC
Musical Instruments,"BELFORT® guitar strings classical guitar, strings for classical guitar made of nylon and silver, acoustic guitar (6-string set) - Incl. 4 picks + extra high E-string",4.5,5437,"['✅ 𝐏𝐑𝐎𝐅𝐄𝐒𝐒𝐈𝐎𝐍𝐀𝐋 𝐐𝐔𝐀𝐋𝐈𝐓𝐈𝐘: The results of elaborate manufacturing processes have produced impeccably crafted classical guitar strings. We guarantee brilliant sound quality, durability, optimum tuning stability and protection against rust (often caused by hand sweat).', ""✅ 𝐏𝐀𝐈𝐍-𝐅𝐑𝐄𝐄 𝐏𝐋𝐀𝐘𝐈𝐍𝐆: Our LightForce nylon guitar strings are soft as butter and require much less effort than other manufacturers' strings. With our strings, you can play painlessly for hours. You will have a cleaner grip and so enjoy your playing sessions more!"", '✅ 𝐓𝐇𝐄 𝐀𝐋𝐋-𝐑𝐎𝐔𝐍𝐃𝐄𝐑:. Belfort acoustic guitar strings are specially made for maximum flexibility. Whether you play soft melodies, fingerstyle or heavy and extended chords our strings will help bring out the best in your play. They are suitable for both beginners and seasoned professionals.', ""✅ 𝐁𝐎𝐍𝐔𝐒: With our guitar eBook, you will soon be playing many songs and learn some of the pros' tricks of the trade. Our eBook is developed by experienced music teachers and is recommended by many guitar teachers. As an extra we will include 4 picks of different sizes and textures."", '✅ 𝐌𝐎𝐍𝐄𝐘 𝐁𝐀𝐂𝐊: If, for any reason, you are not totally satisfied, we will try to find a good solution. Your satisfaction matters a lot to us. Experience the brilliant sound of our Belfort strings by ordering now. It is absolutely risk-free!']",[],7.99,Belfort,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Classical Guitar Strings']","{""Item Weight"": ""0.317 ounces"", ""Product Dimensions"": ""4.53 x 4.33 x 0.24 inches"", ""Item model number"": ""BF//C86"", ""Best Sellers Rank"": {""Musical Instruments"": 5022, ""Classical Guitar Strings"": 22}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 16, 2021"", ""Color Name"": ""Silver"", ""String Gauge"": ""Medium"", ""Number of Strings"": ""6"", ""Material Type"": ""Nylon"", ""Size"": ""028//053""}",B08Z43D7R8
Musical Instruments,Neewer® NW-800 Professional Studio Broadcasting & Recording Microphone Set Including (1)NW-800 Professional Condenser Microphone + (1)Microphone Shock Mount + (1)Ball-type Anti-wind Foam Cap + (1)Microphone Power Cable (Black),4.1,5417,"['The Set Includes: (1)Black Professional Condenser Microphone + (1)Microphone Shock Mount + (1)Ball-type Anti-wind Foam Cap + (1)Microphone Power Cable.', 'The professional condenser microphone adopts the exacting complete electronic circuit control. Capture rich, full-bodied sound from sources that are directly in front of the mic.', 'The shock mount can effectively reduce handling noise. Good cardioid pickup output and high sensitivity', ""The ball-type anti-wind foam cap can protect microphone against wind interference and singers' spit.""]",[],22.5,Neewer,"['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Condenser Microphones', 'Vocal']","{""Item Weight"": ""1 Ounces"", ""Product Dimensions"": ""8.15 x 7.09 x 2.76 inches"", ""Item model number"": ""Neewer"", ""Batteries"": ""1 Lithium Ion batteries required."", ""Best Sellers Rank"": {""Musical Instruments"": 19550, ""Vocal Condenser Microphones"": 37}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""May 8, 2015"", ""Color Name"": ""Black"", ""Compatible Devices"": ""Laptop, Personal Computer, Tablet, Amplifier, Smartphone"", ""Material Type"": ""Foam"", ""Hardware Platform"": ""Smartphone"", ""Power Source"": ""Electrical"", ""Recommended Uses For Product"": ""Singing"", ""Brand"": ""Neewer"", ""Connectivity Technology"": ""XLR"", ""Special Feature"": ""Stand"", ""Color"": ""Black"", ""Included Components"": ""Microphone, Power_adapter, Power_cable, Amplifier"", ""Polar Pattern"": ""Unidirectional"", ""Audio Sensitivity"": ""10 dB""}",B00XBQ8UGG
Musical Instruments,"Donner Celluloid Guitar Picks 16 Pack with Tin Box includes Thin, Medium, Heavy & Extra Heavy Picks, for Acoustic Guitar Electric Guitar Ukulele",4.7,5399,"['🎵【Nice Sound & Feel】 High quality celluloid classic guitar picks provides a natural feel and warm tone for comfortable playing on electric, acoustic, bass guitar, banjo or ukulele. The variety of widths and differing flexibility will suit all styles of music and playing preferences.', '✨【A Huge Selection of Picks in Variety of Width】 Total 16 guitar picks in 4 assorted thickness: thin (0.46mm); medium (0.71mm); heavy (0.96mm); extra heavy (1.2mm). One set with different thicknesses could let you learn to tell which gauge suits you best. Start with the thinnest and then experiment with thicker ones until you find the one that suits you best. Perfect choice for guitar beginners, players or professionals.', '🎀【Great Assortment of Colors】 It is a great collection of guitar picks that features picks in a variety of colours and widths. More than 8 beautiful color designs. Various selections to match different favors or guitar styles.', '🎈【Gifted Delicate Case】Circular click-clack metal tin box at a nice size to fit easily inside any pocket or guitar bag, well storing and carrying a bunch of picks for guitar. The delicate box is made of environmental material without any smell. Easily pops off and on with a snappy sound.', ""🎁💕【Pick A Pleasant Gift 】Great amount, variety of thicknesses and unique designs of 16 guitar picks comes with a lovely carrying case. It couldn’t be better to choose Donner picks set as a music gift for your families or friends during any festival like Christmas, Father’s day,Mother's Day, birthday or Children’s Day.""]",[],7.19,Donner,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Picks & Pick Holders', 'Picks']","{""Item Weight"": ""0.48 ounces"", ""Product Dimensions"": ""0.75 x 2.2 x 2.2 inches"", ""Item model number"": ""EC854"", ""Best Sellers Rank"": {""Musical Instruments"": 472, ""Guitar Picks & Bass Picks"": 21}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""November 19, 2015"", ""Color Name"": ""Dazzle pattern"", ""Compatible Devices"": ""Guitar, Ukulele, Banjo"", ""Number of Strings"": ""6"", ""Material Type"": ""Celluloid Picks"", ""Size"": ""16 Pcs Picks"", ""Color"": ""Dazzle pattern"", ""Material"": ""Celluloid Picks"", ""Brand"": ""Donner""}",B09XB69QQ4
Musical Instruments,"Music Alley MA-34-PNK Acoustic Beginner Guitar Pack, Pink",4.3,5389,"[""Half-Sized Acoustic Guitar: The Music Alley measures 34 inches in length. This and its lightweight linden body makes this, the ideal kid's guitar or beginner guitar."", 'Acoustic Guitar with Nylon Strings: Softer on the fingers and designed to generate a warm tone the nylon strings featured on this acoustic guitar will take regular tuning until they settle but allow you to play for longer.', 'Acoustic Guitar with Metal Gearheads: The metal gearheads featured on this guitar allow for quicker and more accurate tuning so you can spend less time tuning and more time playing.', 'Acoustic Guitar Accessories: This guitar comes with spare strings and guitar fretboard stickers which will help beginner guitar players learn notes, chords, and scales.', 'Classical Guitar Design: Orginintaing in the 19th century the shape of this guitar has sustained its popularity due to its high playability.']","[""Designed for playability this Music Alley guitar has a host of features that are all designed to benefit the new player, allowing them to avoid the frustrations that prevent the beginner guitar player from progressing. Three-Quarter-Sized Acoustic Guitar: The Music Alley measures 34 inches in length. This and its lightweight linden body makes this, the ideal kid's guitar or beginner guitar. Acoustic Guitar with Nylon Strings: Softer on the fingers and designed to generate a warm tone the nylon strings featured on this acoustic guitar will take regular tuning until they settle but allow you to play for longer. Acoustic Guitar with Metal Gearheads: The metal gearheads featured on this guitar allow for quicker and more accurate tuning so you can spend less time tuning and more time playing. Acoustic Guitar Accessories: This guitar comes with spare strings and guitar fretboard stickers which will help beginner guitar players learn notes, chords, and scales. Classical Guitar Design: Orginintaing in the 19th century the shape of this guitar has sustained its popularity due to its high playability.""]",None,Music Alley,"['Musical Instruments', 'Guitars', 'Acoustic Guitars', 'Beginner Kits']","{""Item Weight"": ""2.12 pounds"", ""Product Dimensions"": ""33.1 x 12.2 x 3.5 inches"", ""Item model number"": ""MA-34-PNK"", ""Best Sellers Rank"": {""Musical Instruments"": 3984, ""Acoustic Guitar Beginner Kits"": 16}, ""Date First Available"": ""December 27, 2017"", ""Body Material"": ""Basswood"", ""Color Name"": ""Pink"", ""Fretboard Material"": ""Maple Wood"", ""Guitar Pickup Configuration"": ""Acoustic"", ""Scale Length"": ""34 Inches"", ""String Material"": ""Nylon"", ""Top Material"": ""Ash"", ""Neck Material Type"": ""Basswood"", ""Number of Strings"": ""6"", ""Guitar Bridge System"": ""Fixed"", ""Brand"": ""Music Alley"", ""Color"": ""Pink"", ""Top Material Type"": ""Ash"", ""Fretboard Material Type"": ""Maple Wood"", ""String Material Type"": ""Nylon"", ""Hand Orientation"": ""Right""}",B07FNLCPVB
Musical Instruments,"SUNLP Thumb Finger Picks, Guitar Finger Fingertip Protectors, Guitar Picks, Pick Holder, Gift Set Kit useful for Acoustic Guitar Ukulele Kalimba Starter & Other String Instruments",4.3,5362,"['Say bye-bye to finger pain, farewell to ugly calluses.High quality Silicone guitar finger protectors, comfortable to wear and protect your fingertip for long time practicing.', 'Frivolous and ventilated, free and relaxed without impairing the timbre of playing: Guitar fingertip protector close to the skin, and don’t influence feel and the timbre & Say no to allergies and smelly smell by using green materials and never hurt your skin.', 'ADJUSTABLE & COMFORTABLE: Are you being bothered that the finger picks are unsuitable with your finger size? Our thumb finger picks are made of Celluloid Material, which can adjust size easily. And the thumb picks are COMFORTABLE to wear and can ALLEVIATE finger ache while long-time practice.', '5 sizes guitar finger protectors perfectly meet needs for both adults and teens and suitable for all kinds of instruments.', 'Picks Case Can Stock More Spare Picks At Home And Carry Easily: We Made of Super Durable Reinforcement Plastics, It Passed Drop Test, 100% Assure Of You Will Not Receive Some Picks With A Pile Of Plastic Fragments High Quality Buckle 100% Assure Of Your Case Will Be Not Open While You Carrying Picks Out.']","['Silicone guitar Finger protectors set：', '10 x guitar finger protectors (5sizes*2pcs each)\xa0\xa0L/M/S/XS/XXS', '10 x guitar finger protectors (5sizes*2pcs each)\xa0\xa0L/M/S/XS/XXS', '3 x finger picks &1 x thumb pick (color random)', '3 x finger picks &1 x thumb pick (color random)', '1 x picks holder', '1 x picks holder', '6 x 0.46mm guitar pick', '6 x 0.46mm guitar pick', '1 x picks case', '1 x picks case', 'Problems such as finger deformation, ugly calluses can be easily solved with the protection of guitar finger protectors.', 'Adopt', 'high-grade silicone, say no to smelly smells.', '2mm thickness', 'makes it frivolous and ventilated, anti skid and comfortable.', 'Avoid hand sweat', 'which can easily makes the strings rust.', 'Special design', 'makes fingertip protector close to skin freely.', 'Super Tough and high performance with good tension', 'is not easy to broken.', '1.5mm thickness\xa0Thumb pick & Finger picks, material with high strength contribute to durable of our guitar nails.\xa0Smooth Surface and Clean Edge\xa0Refuse Hurt Your Finger', '1.5mm thickness', 'Thumb pick & Finger picks, material with high strength contribute to durable of our guitar nails.', 'Smooth Surface and Clean Edge', 'Refuse Hurt Your Finger', 'Picks Case Can Stock More Spare Picks At Home And Carry Easily. We Made of Super Durable Reinforcement Plastics and\xa0 Assure Of You Will Not Receive Picks With A Pile Of Plastic Fragments. High Quality Buckle Assure Of Your Case Will Not Open While You Carrying Picks Out.\xa0Material of our thumb finger picks have good heat distortion, you can adjust size as you need.', 'Picks Case Can Stock More Spare Picks At Home And Carry Easily. We Made of', 'Super Durable Reinforcement Plastics', 'and\xa0 Assure Of You Will Not Receive Picks With A Pile Of Plastic Fragments. High Quality Buckle Assure Of Your Case Will Not Open While You Carrying Picks Out.\xa0Material of our thumb finger picks have good heat distortion, you can adjust size as you need.', 'IMPORTANT: HOW TO ADJUST SIZE ACCORDING TO YOUR FINGER?', 'STEP1:', 'Use boiled water to soak finger picks for some time', 'STEP2:', 'If you feel too big, use rubber band tighten it, if you feel too small use something larger stretch it.', 'STEP3:', 'Use a hair drier to blow it with hot air for a while.', 'STEP4:', 'Take it off after cooling then you can shape the size of it']",6.99,SUNLP,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Picks & Pick Holders', 'Picks']","{""Item Weight"": ""1.13 ounces"", ""Product Dimensions"": ""3.62 x 2.44 x 0.87 inches"", ""Best Sellers Rank"": {""Musical Instruments"": 267, ""Guitar Picks & Bass Picks"": 10}, ""Date First Available"": ""June 12, 2019"", ""Color Name"": ""Finger Protector"", ""Compatible Devices"": ""Guitar, Ukulele"", ""Material Type"": ""Silicone,Plastic,Celluloid"", ""Size"": ""Finger Protector"", ""Color"": ""Finger Protector"", ""Material"": ""Silicone,Plastic,Celluloid"", ""Brand"": ""SUNLP""}",B099QSKMBP
Musical Instruments,Condenser Microphone ZINGYOU ZY-007 Professional Cardioid Mic Bundle for Pc/Laptop Recording Studio YouTube Podcast Vocal Broadcasting Gaming with Scissor Arm Stand Shock Mount and Pop Filter (Silver),4.0,5347,"['Excellent sound quality - The ZY-007 condenser microphone with Professional cardioid pickup pattern can reduce the background noise from the sides and rear for an unparalleled sound experience', 'Wide Range of Applications - A new upgrade microphone kit, based on the original condenser microphone, we have improved its performance, now it can provide better sound for studio recording, vocals, instruments, podcasts, etc', 'Plug & play - Condenser microphone with 3.5mm XLR port, can be used with the included USB sound card, easy to use and install, no need to download additional software', 'Complete Mic Set - The ZINGYOU ZY-007 condenser microphone kit includes a cardioid condenser microphone, shock mount, pop filter, adjustable suspension scissor arm, windproof bubble cap, power cord, sound card, and a user manual', 'Satisfaction Service Guarantee - (1)Before the sale, we will provide timely and effective consulting services to help you solve doubts;(2)After sale ,We provide 7-day no reason refund, 30-day replacement, 1-year warranty service, 24h friendly customer service, and e-mail support. If you have any questions, please do not hesitate to contact us']",[],31.99,ZINGYOU,"['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Condenser Microphones', 'Multipurpose']","{""Item Weight"": ""3.09 pounds"", ""Product Dimensions"": ""16.54 x 9.45 x 2.76 inches"", ""Country of Origin"": ""China"", ""Item model number"": ""ZY-007"", ""Best Sellers Rank"": {""Musical Instruments"": 3268, ""Vocal Condenser Microphones"": 10, ""Multipurpose Condenser Microphones"": 74}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""May 28, 2020"", ""Color Name"": ""Silver"", ""Compatible Devices"": ""Laptop, Personal Computer"", ""Connector Type"": ""USB, 3.5 mm Jack, XLR Connector"", ""Material Type"": ""foam, Metal"", ""Musical Style"": ""pop"", ""Hardware Platform"": ""Karaoke Machine"", ""Power Source"": ""Corded Electric"", ""Recommended Uses For Product"": ""Gaming"", ""Brand"": ""ZINGYOU"", ""Model Name"": ""ZY-007"", ""Connectivity Technology"": ""USB, XLR"", ""Special Feature"": ""Stand"", ""Color"": ""Silver"", ""Included Components"": ""warranty_card, microphone, user_manual"", ""Polar Pattern"": ""Unidirectional""}",B08S38PTF2
Musical Instruments,"Fender Deluxe Locking Staggered Guitar Tuners, Brushed Chrome",4.8,5346,"['Genuine Fender Replacement Part', 'High Quality', 'Durable']",['Locking Tuning Machines/Brushed (Set of 6) (Used on the American Deluxe Series guitars)'],74.99,Fender,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Electric Guitar Parts', 'Tuning Pegs']","{""Item Weight"": ""0.8 ounces"", ""Product Dimensions"": ""10.98 x 2.01 x 4.76 inches"", ""Item model number"": ""0990818000"", ""Best Sellers Rank"": {""Musical Instruments"": 1011, ""Electric Guitar Tuning Keys"": 1}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""June 26, 2007"", ""Color Name"": ""Brushed Chrome""}",B0BKR2ZM9X
Computers,"HyperX QuadCast S – RGB USB Condenser Microphone for PC, PS4, PS5 and Mac, Anti-Vibration Shock Mount, 4 Polar Patterns, Pop Filter, Gain Control, Gaming, Streaming, Podcasts, Twitch, YouTube, Discord",4.7,5340,"['Radiant RGB lighting with dynamic effects: Personalize stunning RGB lighting and dynamic effects for an eye-catching shot of customizable style.', 'Built-in anti-vibration shock mount: Isolate the mic and suppress the sound of unintentional rumbles and bumps with the elastic rope suspension.', 'Tap-to-mute sensor with LED status indicator: Use the convenient tap-to-mute functionality to prevent an audio accident along with the help of the LED mic status indicator. If the light is on, the mic is active, if the light is off, the mic is muted.', '4 selectable polar patterns: Choose between four polar patterns (stereo, omnidirectional, cardioid, bidirectional) to optimize your broadcast setup and keep the focus on the sounds you want to be heard.', 'Customizable via HyperX Ngenuity Software: Personalize your RGB lighting and effects with the HyperX Ngenuity software.', 'Gain control adjustment: Easily adjusts your mic sensitivity by turning the dial at the bottom of the QuadCast.', ""Mount adapter, pop filter, and headphone jack: Versatile adapter fits 3'8-inch and 5'8-inch threaded setups, compatible with most mic stands or boom arms. The internal pop filter helps block plosive sounds from hitting the mic, and you can monitor the mic via the headphone jack."", 'Multi-device and program compatibility: Get great sound whether you’re connecting to a PC, PS4, or Mac. QuadCast S is certified by Discord and TeamSpeak, and works on major streaming platforms like Streamlabs OBS, OBS Studio, and XSplit.']","['The HyperX QuadCast S is a USB condenser microphone that both sounds great and looks great. The supremely stunning RGB lighting and dynamic effects will add style and flair to any stream or setup, and is customizable via HyperX Ngenuity software. The QuadCast S is an all-inclusive mic, featuring an anti-vibration shock mount to help quiet the rumbles of daily life and a built-in pop filter to muffle plosive sounds. Instantly know your mic status with the LED indicator, and simply tap-to-mute to avoid awkward broadcasting accidents. With four selectable polar patterns, this mic’s prepared for nearly any recording situation and also features a gain control dial to quickly regulate input sensitivity. The included mount adapter fits 3/8” and 5/8” thread sizes, compatible with most stands. QuadCast S is certified by Discord and TeamSpeak so you can ensure that your microphone is broadcasting loud and clear for all your followers and listeners, and you can also monitor your mic in real time using the convenient headphone jack on the back of the mic. It’s multi-platform compatible, so you can deliver quality sound output whether you’re connecting to a PC, PS4, or Mac.']",139.99,HyperX,"['Musical Instruments', 'Microphones & Accessories', 'Microphones', 'Condenser Microphones', 'Multipurpose']","{""Product Dimensions"": ""9.84 x 5.08 x 4.06 inches"", ""Item Weight"": ""1.32 pounds"", ""Item model number"": ""HMIQ1S-XX-RG/G"", ""Batteries"": ""1 Lithium Ion batteries required."", ""Best Sellers Rank"": {""Musical Instruments"": 40, ""Multipurpose Condenser Microphones"": 2}, ""Date First Available"": ""September 28, 2020"", ""Manufacturer"": ""HP Inc."", ""Language"": ""English"", ""Country of Origin"": ""China"", ""Recommended Uses For Product"": ""Streaming, Singing, Gaming"", ""Brand"": ""HyperX"", ""Model Name"": ""QuadCast S"", ""Connectivity Technology"": ""USB"", ""Connector Type"": ""USB-C to USB-A"", ""Special Feature"": ""Stand, Mute Function"", ""Compatible Devices"": ""PS4, Personal Computer, Mac"", ""Color"": ""Microphone"", ""Included Components"": ""Microphone, Mount adapter, USB power cable"", ""Polar Pattern"": ""Cardioid, Bidirectional, Omnidirectional and Stereo""}",B0C3QH861T
Musical Instruments,"D'Addario Violin Rosin - Cello Rosin - Kaplan Premium Rosin with Case, Dark - KRDD",4.7,5340,"[""<p>Kaplan Premium Dark Rosin is packed in an attractive case, designed for easy one-handed use. A dial at the bottom of the case allows the rosin to be turned, to avoid creating a groove, if desired. </p><p>Kaplan Premium Rosin is formulated using the original Kaplan recipe, which produces less dust, helping to keep the instrument cleaner.</p><p>D'Addario, the world's largest manufacturer of musical instrument strings, is known worldwide for unsurpassed quality and consistency. D'Addario continues to develop and manufacture exceptional strings and accessories for violin, viola, cello and double bass, incorporating innovative, environmentally friendly packaging that reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.<p>"", 'Dark rosin', 'Case designed for one-handed use', 'Low dust', 'Formulated using the original Kaplan recipe handed down from Ladislav Kaplan', ""All D'Addario strings are designed, engineered and manufactured in the USA to the most stringent quality controls in the industry""]","['The contemporary Double Bass set produces a brighter sound and is lower tension than the Traditional Double Bass set. The set gathers regular double bass tuning strings (G, D, A, E). Additional 5th and 6th strings, a low B and a high C, are available as singles']",8.49,D'Addario,"['Musical Instruments', 'Instrument Accessories', 'Orchestral Strings Accessories & Parts', 'Rosin', 'Violin']","{""Item Weight"": ""2.11 ounces"", ""Product Dimensions"": ""3.4 x 5.4 x 8.8 inches"", ""Domestic Shipping"": ""Item can be shipped within U.S."", ""International Shipping"": ""This item can be shipped to select countries outside of the U.S.  Learn More"", ""Country of Origin"": ""USA"", ""Item model number"": ""KRDD"", ""Best Sellers Rank"": {""Musical Instruments"": 666, ""Orchestral String Instrument Cleaning & Care Products"": 1, ""Violin Rosin"": 4}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""February 10, 2007"", ""Color Name"": ""Dark""}",B0BKZ6FK4D
Musical Instruments,D'Addario PL019 Plain Steel Guitar Single String.019,4.7,5325,"[""<p>PL019 is a .019 gauge plain steel string for acoustic or electric guitar. Perfect as a replacement string or for creating customized sets. </p><p>D'Addario plain steel guitar strings are acclaimed worldwide for their superb, long-lasting tone. They are equally suitable for both electric and acoustic guitar.</p><p>D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative, environmentally friendly packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.<p>"", '.019 gauge plain steel string for acoustic or electric guitar', 'Superb, long-lasting tone', 'Perfect as a replacement string or for creating customized sets', 'Made in the U.S.A. for the highest quality and performance']","['Product Description', 'D-Addario Plain Steel Single String 019', 'From the Manufacturer', 'PL019 is a .019 gauge plain steel string for acoustic or electric guitar. Perfect as a replacement string or for creating customized sets.', ""D'Addario plain steel guitar strings are acclaimed worldwide for their superb, long-lasting tone. They are equally suitable for both electric and acoustic guitar."", ""D'Addario, the world's largest manufacturer of musical instrument strings, is known as The Players Choice with a reputation for unsurpassed quality and consistency. D'Addario's innovative,packaging reduces waste and provides protection from corrosion. All D'Addario strings are manufactured in the U.S.A. using proprietary, digitally controlled, state-of-the-art machinery for unmatched performance, set after set.""]",2.9,D'Addario,"['Musical Instruments', 'Instrument Accessories', 'Guitar & Bass Accessories', 'Strings', 'Electric Guitar Strings']","{""Item Weight"": ""0.387 ounces"", ""Product Dimensions"": ""4 x 4 x 0.1 inches"", ""Item model number"": ""PL019"", ""Best Sellers Rank"": {""Musical Instruments"": 634, ""Electric Guitar Strings"": 13}, ""Is Discontinued By Manufacturer"": ""No"", ""Date First Available"": ""March 1, 2007"", ""String Gauge"": ""Medium"", ""String Material"": ""Steel"", ""Number of Strings"": ""1"", ""Size"": "".019 gauge"", ""Brand"": ""D'Addario"", ""Instrument"": ""Acoustic Guitar, Electric Guitar"", ""String Material Type"": ""Steel""}",B07CRK35NG
